Frec[Hz],Fase [°],Rp[Ohm],Cs[F],D
133352.1432,1.107627279,77.91145583,-7.93E-07,51.72194923
141253.7545,2.88082644,82.26868568,-2.73E-07,19.87189787
149623.5656,8.959304187,91.34610342,-7.57E-08,6.342906597
158489.3192,13.38181069,87.2039744,-5.11E-08,4.203479543
167880.4018,14.33642303,98.62343805,-4.01E-08,3.912762329
177827.941,18.34865539,108.2407357,-2.77E-08,3.015129416
188364.9089,20.00370264,122.8908408,-2.14E-08,2.746925077
199526.2315,20.94202555,127.8841806,-1.87E-08,2.612988611
211348.904,22.71459394,139.083449,-1.52E-08,2.388867634
223872.1139,23.10496933,149.6666504,-1.32E-08,2.343903853
237137.3706,25.92260485,150.0427616,-1.14E-08,2.057352588
251188.6432,18.94018371,154.0727407,-1.34E-08,2.914090309
266072.506,22.29683302,166.8855935,-1.02E-08,2.438635878
281838.2931,21.24889913,166.4168718,-1.00E-08,2.571642008
298538.2619,22.48720153,172.5794014,-8.74E-09,2.415739689
316227.766,21.7201772,180.1260056,-8.13E-09,2.510315408
334965.4392,22.74059951,184.4648775,-7.22E-09,2.38582688
354813.3892,21.1150316,186.7698454,-7.15E-09,2.589537602
375837.4043,21.38283984,190.1057481,-6.56E-09,2.553950573
398107.1706,20.22064426,202.8091826,-6.08E-09,2.714901411
421696.5034,20.35019118,197.3421789,-5.87E-09,2.69609055
446683.5922,20.04559251,199.0066868,-5.56E-09,2.740689775
473151.259,20.08238422,215.4422951,-4.84E-09,2.735233907
501187.2336,17.14812645,219.4104229,-5.14E-09,3.24086215
530884.4442,17.76513315,226.0882576,-4.56E-09,3.121159655
562341.3252,17.03504841,226.7099412,-4.46E-09,3.26371083
595662.1435,14.33541411,223.1152338,-4.99E-09,3.913049544
630957.3445,15.53930728,236.9648295,-4.12E-09,3.596300987
668343.9176,13.98281125,230.0152052,-4.42E-09,4.015913023
707945.7844,13.77497537,239.1257324,-4.07E-09,4.078960589
749894.2093,10.09712639,229.9168118,-5.35E-09,5.615599248
794328.2347,10.73473227,238.9259027,-4.58E-09,5.274821667
841395.1416,9.988041246,239.931125,-4.62E-09,5.678211883
891250.9381,8.950114832,241.1379277,-4.82E-09,6.349526379
944060.8763,7.521724945,241.2132817,-5.39E-09,7.573562354
1000000,5.831397031,241.5325212,-6.52E-09,9.791445904
